
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
| 1161.png                 | 0.7332      | 0.5788      | 0.6245      | 0.8878      |
| 1162.png                 | 0.9171      | 0.8468      | 0.9795      | 0.8621      |
| 1163.png                 | 0.0882      | 0.0461      | 0.0462      | 0.9929      |
| 1169.png                 | 0.0727      | 0.0377      | 0.0377      | 1.0000      |
| 117.png                  | 0.2501      | 0.1429      | 0.1429      | 1.0000      |
| 1170.png                 | 0.0875      | 0.0457      | 0.0457      | 1.0000      |
| 1171.png                 | 0.1110      | 0.0588      | 0.0588      | 0.9973      |
| 1172.png                 | 0.9519      | 0.9081      | 0.9371      | 0.9671      |
| 1173.png                 | 0.1020      | 0.0538      | 0.0538      | 1.0000      |
| 1174.png                 | 0.0938      | 0.0492      | 0.0492      | 0.9974      |
| 1175.png                 | 0.0473      | 0.0242      | 0.0242      | 0.9987      |
| 1176.png                 | 0.8495      | 0.7384      | 0.9038      | 0.8013      |
| 1177.png                 | 0.0504      | 0.0259      | 0.0259      | 1.0000      |
| 1178.png                 | 0.0632      | 0.0326      | 0.0326      | 0.9967      |
| 1179.png                 | 0.0542      | 0.0279      | 0.0279      | 0.9988      |
| 118.png                  | 0.9268      | 0.8636      | 0.9904      | 0.8709      |
| 1180.png                 | 0.0400      | 0.0204      | 0.0204      | 1.0000      |
| 1182.png                 | 0.0376      | 0.0192      | 0.0192      | 1.0000      |
| 1183.png                 | 0.3497      | 0.2119      | 0.2144      | 0.9463      |
| 1184.png                 | 0.0881      | 0.0461      | 0.0461      | 1.0000      |
| 1185.png                 | 0.8079      | 0.6777      | 0.6996      | 0.9558      |
| 1186.png                 | 0.8526      | 0.7431      | 0.7778      | 0.9432      |
| 1187.png                 | 0.6208      | 0.4501      | 0.4624      | 0.9442      |
| 1188.png                 | 0.0825      | 0.0430      | 0.0430      | 1.0000      |
| 1194.png                 | 0.0292      | 0.0148      | 0.0148      | 0.9779      |
| 1195.png                 | 0.0325      | 0.0165      | 0.0165      | 0.9768      |
| 1197.png                 | 0.0363      | 0.0185      | 0.0185      | 0.9988      |
| 12.png                   | 0.9698      | 0.9413      | 0.9749      | 0.9647      |
| 1202.png                 | 0.0232      | 0.0117      | 0.0117      | 1.0000      |
| 1205.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1219.png                 | 0.0460      | 0.0235      | 0.0235      | 0.9639      |
| 1220.png                 | 0.0478      | 0.0245      | 0.0245      | 1.0000      |
| 1221.png                 | 0.0610      | 0.0315      | 0.0315      | 0.9823      |
| 1222.png                 | 0.0368      | 0.0188      | 0.0188      | 1.0000      |
| 1223.png                 | 0.0356      | 0.0181      | 0.0181      | 1.0000      |
| 1224.png                 | 0.0297      | 0.0151      | 0.0151      | 1.0000      |
| 1225.png                 | 0.0245      | 0.0124      | 0.0124      | 1.0000      |
| 1226.png                 | 0.0131      | 0.0066      | 0.0066      | 1.0000      |
| 1227.png                 | 0.0144      | 0.0073      | 0.0073      | 1.0000      |
| 1228.png                 | 0.0146      | 0.0074      | 0.0074      | 1.0000      |
| 1230.png                 | 0.6519      | 0.4836      | 0.5971      | 0.7178      |
| 1236.png                 | 0.0246      | 0.0125      | 0.0125      | 1.0000      |
| 124.png                  | 0.1076      | 0.0569      | 0.0569      | 1.0000      |
| 1244.png                 | 0.0422      | 0.0215      | 0.0215      | 1.0000      |
| 1245.png                 | 0.0274      | 0.0139      | 0.0139      | 1.0000      |
| 1246.png                 | 0.0994      | 0.0523      | 0.0523      | 1.0000      |
| 1247.png                 | 0.0616      | 0.0318      | 0.0318      | 0.9952      |
| 1248.png                 | 0.0734      | 0.0381      | 0.0381      | 0.9936      |
| 1249.png                 | 0.0693      | 0.0359      | 0.0359      | 1.0000      |
| 1250.png                 | 0.0464      | 0.0237      | 0.0237      | 1.0000      |
| 1251.png                 | 0.0252      | 0.0127      | 0.0127      | 1.0000      |
| 1252.png                 | 0.0316      | 0.0161      | 0.0161      | 1.0000      |
| 1253.png                 | 0.0348      | 0.0177      | 0.0177      | 1.0000      |
| 1254.png                 | 0.0337      | 0.0171      | 0.0171      | 1.0000      |
| 1255.png                 | 0.3263      | 0.1950      | 0.1984      | 0.9174      |
| 1256.png                 | 0.5515      | 0.3808      | 0.3808      | 1.0000      |
| 1257.png                 | 0.5692      | 0.3978      | 0.4141      | 0.9101      |
| 1258.png                 | 0.6408      | 0.4714      | 0.4995      | 0.8935      |
| 1259.png                 | 0.5558      | 0.3848      | 0.3904      | 0.9642      |
| 1260.png                 | 0.0251      | 0.0127      | 0.0127      | 1.0000      |
| 1261.png                 | 0.5579      | 0.3869      | 0.3970      | 0.9384      |
| 1262.png                 | 0.5910      | 0.4194      | 0.4237      | 0.9763      |
| 1264.png                 | 0.5280      | 0.3587      | 0.3747      | 0.8937      |
| 1265.png                 | 0.0213      | 0.0108      | 0.0108      | 1.0000      |
| 1266.png                 | 0.0069      | 0.0035      | 0.0035      | 1.0000      |
| 1273.png                 | 0.0290      | 0.0147      | 0.0147      | 1.0000      |
| 1274.png                 | 0.0342      | 0.0174      | 0.0174      | 0.9709      |
| 1276.png                 | 0.0694      | 0.0360      | 0.0360      | 1.0000      |
| 1277.png                 | 0.9323      | 0.8732      | 0.9751      | 0.8931      |
| 1278.png                 | 0.0723      | 0.0375      | 0.0375      | 1.0000      |
| 1281.png                 | 0.1094      | 0.0579      | 0.0579      | 1.0000      |
| 1282.png                 | 0.6657      | 0.4989      | 0.5140      | 0.9443      |
| 1285.png                 | 0.0158      | 0.0080      | 0.0080      | 1.0000      |
| 1286.png                 | 0.0168      | 0.0085      | 0.0085      | 1.0000      |
| 1287.png                 | 0.7372      | 0.5838      | 0.9712      | 0.5941      |
| 1289.png                 | 0.0270      | 0.0137      | 0.0137      | 0.9781      |
| 1291.png                 | 0.0251      | 0.0127      | 0.0127      | 1.0000      |
| 1293.png                 | 0.0319      | 0.0162      | 0.0162      | 0.9867      |
| 1294.png                 | 0.0326      | 0.0166      | 0.0166      | 1.0000      |
| 1296.png                 | 0.0556      | 0.0286      | 0.0287      | 0.9473      |
| 1297.png                 | 0.0496      | 0.0254      | 0.0255      | 0.9108      |
| 1298.png                 | 0.0404      | 0.0206      | 0.0207      | 0.8971      |
| 1299.png                 | 0.8102      | 0.6810      | 0.8374      | 0.7847      |
