
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1149.png                 | 0.0113      | 0.0057      | 0.0058      | 0.3296      | 
| 115.png                  | 0.0119      | 0.0060      | 0.0063      | 0.1199      | 
| 1151.png                 | 0.0545      | 0.0280      | 0.0430      | 0.0744      | 
| 1152.png                 | 0.6394      | 0.4699      | 0.9108      | 0.4926      | 
| 1154.png                 | 0.8426      | 0.7280      | 0.9275      | 0.7720      | 
| 1155.png                 | 0.2388      | 0.1356      | 0.1381      | 0.8820      | 
| 1156.png                 | 0.5578      | 0.3867      | 0.4947      | 0.6394      | 
| 1157.png                 | 0.0034      | 0.0017      | 0.0018      | 0.0393      | 
| 1158.png                 | 0.7390      | 0.5860      | 0.9929      | 0.5885      | 
| 1159.png                 | 0.7598      | 0.6127      | 0.9900      | 0.6165      | 
| 116.png                  | 0.0191      | 0.0097      | 0.0103      | 0.1442      | 
| 1160.png                 | 0.6907      | 0.5275      | 0.7844      | 0.6170      | 
| 1161.png                 | 0.0009      | 0.0005      | 0.0005      | 0.0134      | 
| 1162.png                 | 0.0031      | 0.0016      | 0.0017      | 0.0264      | 
| 1163.png                 | 0.0014      | 0.0007      | 0.0007      | 0.0098      | 
| 1169.png                 | 0.0264      | 0.0134      | 0.0136      | 0.4564      | 
| 117.png                  | 0.0766      | 0.0398      | 0.0452      | 0.2506      | 
| 1170.png                 | 0.0187      | 0.0094      | 0.0097      | 0.2369      | 
| 1171.png                 | 0.0062      | 0.0031      | 0.0033      | 0.0443      | 
| 1172.png                 | 0.0012      | 0.0006      | 0.0006      | 0.0104      | 
| 1173.png                 | 0.0024      | 0.0012      | 0.0013      | 0.0168      | 
| 1174.png                 | 0.0171      | 0.0086      | 0.0089      | 0.2119      | 
| 1175.png                 | 0.0066      | 0.0033      | 0.0033      | 0.1645      | 
| 1176.png                 | 0.0015      | 0.0008      | 0.0008      | 0.0763      | 
| 1177.png                 | 0.0026      | 0.0013      | 0.0013      | 0.0499      | 
| 1178.png                 | 0.0010      | 0.0005      | 0.0005      | 0.0153      | 
| 1179.png                 | 0.0157      | 0.0079      | 0.0080      | 0.3650      | 
| 118.png                  | 0.0161      | 0.0081      | 0.0086      | 0.1218      | 
| 1180.png                 | 0.0160      | 0.0081      | 0.0081      | 0.5102      | 
| 1182.png                 | 0.0089      | 0.0045      | 0.0045      | 0.2726      | 
| 1183.png                 | 0.0166      | 0.0084      | 0.0086      | 0.2375      | 
| 1184.png                 | 0.0092      | 0.0046      | 0.0048      | 0.1233      | 
| 1185.png                 | 0.0050      | 0.0025      | 0.0027      | 0.0457      | 
| 1186.png                 | 0.0034      | 0.0017      | 0.0018      | 0.0316      | 
| 1187.png                 | 0.0142      | 0.0071      | 0.0074      | 0.1548      | 
| 1188.png                 | 0.0185      | 0.0094      | 0.0096      | 0.2641      | 
| 1194.png                 | 0.0036      | 0.0018      | 0.0018      | 0.1450      | 
| 1195.png                 | 0.0003      | 0.0002      | 0.0002      | 0.0086      | 
| 1197.png                 | 0.0220      | 0.0111      | 0.0112      | 0.6594      | 
| 12.png                   | 0.9499      | 0.9045      | 0.9889      | 0.9138      | 
| 1202.png                 | 0.0021      | 0.0011      | 0.0011      | 0.0544      | 
| 1205.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1219.png                 | 0.0025      | 0.0013      | 0.0013      | 0.0848      | 
| 1220.png                 | 0.0052      | 0.0026      | 0.0027      | 0.1724      | 
| 1221.png                 | 0.0079      | 0.0040      | 0.0040      | 0.1717      | 
| 1222.png                 | 0.7310      | 0.5760      | 0.9042      | 0.6134      | 
| 1223.png                 | 0.1342      | 0.0720      | 0.0813      | 0.3840      | 
| 1224.png                 | 0.0020      | 0.0010      | 0.0010      | 0.0578      | 
| 1225.png                 | 0.0057      | 0.0029      | 0.0029      | 0.3181      | 
| 1226.png                 | 0.0026      | 0.0013      | 0.0013      | 0.2235      | 
| 1227.png                 | 0.0018      | 0.0009      | 0.0009      | 0.1382      | 
| 1228.png                 | 0.0034      | 0.0017      | 0.0017      | 0.1796      | 
| 1230.png                 | 0.0091      | 0.0046      | 0.0047      | 0.1653      | 
| 1236.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0019      | 
| 124.png                  | 0.0110      | 0.0055      | 0.0059      | 0.0749      | 
| 1244.png                 | 0.0016      | 0.0008      | 0.0008      | 0.0403      | 
| 1245.png                 | 0.0002      | 0.0001      | 0.0001      | 0.0022      | 
| 1246.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1247.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1248.png                 | 0.0004      | 0.0002      | 0.0002      | 0.0048      | 
| 1249.png                 | 0.0023      | 0.0012      | 0.0012      | 0.0366      | 
| 1250.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1251.png                 | 0.0004      | 0.0002      | 0.0002      | 0.0064      | 
| 1252.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1253.png                 | 0.6856      | 0.5216      | 0.5826      | 0.8329      | 
| 1254.png                 | 0.7704      | 0.6265      | 0.9620      | 0.6425      | 
| 1255.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
