
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
| 1227.png                 | 0.7833      | 0.6438      | 0.7741      | 0.7927      |
| 1228.png                 | 0.3732      | 0.2294      | 0.2505      | 0.7314      |
| 1230.png                 | 0.7098      | 0.5501      | 0.8160      | 0.6280      |
| 1236.png                 | 0.4635      | 0.3016      | 0.3243      | 0.8119      |
| 124.png                  | 0.9123      | 0.8387      | 0.9916      | 0.8447      |
| 1244.png                 | 0.9057      | 0.8277      | 0.8886      | 0.9235      |
| 1245.png                 | 0.8229      | 0.6991      | 0.7320      | 0.9397      |
| 1246.png                 | 0.8981      | 0.8150      | 0.8434      | 0.9604      |
| 1247.png                 | 0.8924      | 0.8057      | 0.8621      | 0.9249      |
| 1248.png                 | 0.9184      | 0.8490      | 0.8835      | 0.9561      |
| 1249.png                 | 0.9003      | 0.8187      | 0.8404      | 0.9694      |
| 1250.png                 | 0.9139      | 0.8415      | 0.8756      | 0.9557      |
| 1251.png                 | 0.6287      | 0.4585      | 0.4819      | 0.9042      |
| 1252.png                 | 0.6843      | 0.5200      | 0.5407      | 0.9316      |
| 1253.png                 | 0.6935      | 0.5308      | 0.5642      | 0.8995      |
| 1254.png                 | 0.6046      | 0.4333      | 0.4524      | 0.9111      |
| 1255.png                 | 0.4532      | 0.2930      | 0.3055      | 0.8771      |
| 1256.png                 | 0.5629      | 0.3917      | 0.4192      | 0.8567      |
| 1257.png                 | 0.5804      | 0.4089      | 0.4319      | 0.8844      |
| 1258.png                 | 0.6394      | 0.4700      | 0.5111      | 0.8537      |
| 1259.png                 | 0.5732      | 0.4018      | 0.4135      | 0.9338      |
| 1260.png                 | 0.6249      | 0.4544      | 0.4793      | 0.8977      |
| 1261.png                 | 0.8549      | 0.7466      | 0.8308      | 0.8805      |
| 1262.png                 | 0.8802      | 0.7860      | 0.8247      | 0.9437      |
| 1264.png                 | 0.8937      | 0.8078      | 0.9674      | 0.8305      |
| 1265.png                 | 0.4075      | 0.2559      | 0.2656      | 0.8749      |
| 1266.png                 | 0.8466      | 0.7339      | 0.9639      | 0.7547      |
| 1273.png                 | 0.5111      | 0.3433      | 0.3507      | 0.9421      |
| 1274.png                 | 0.7201      | 0.5627      | 0.5855      | 0.9352      |
| 1276.png                 | 0.9450      | 0.8958      | 0.9977      | 0.8976      |
| 1277.png                 | 0.9175      | 0.8476      | 0.9966      | 0.8501      |
| 1278.png                 | 0.9289      | 0.8672      | 0.9922      | 0.8732      |
| 1281.png                 | 0.4293      | 0.2733      | 0.9948      | 0.2737      |
| 1282.png                 | 0.4765      | 0.3127      | 0.8852      | 0.3259      |
| 1285.png                 | 0.5755      | 0.4040      | 0.4177      | 0.9249      |
| 1286.png                 | 0.6944      | 0.5319      | 0.5497      | 0.9427      |
| 1287.png                 | 0.7232      | 0.5665      | 0.9703      | 0.5765      |
| 1289.png                 | 0.3757      | 0.2313      | 0.2423      | 0.8365      |
| 1291.png                 | 0.7314      | 0.5766      | 0.6348      | 0.8628      |
| 1293.png                 | 0.7823      | 0.6424      | 0.6712      | 0.9373      |
| 1294.png                 | 0.8688      | 0.7680      | 0.9207      | 0.8223      |
| 1296.png                 | 0.7336      | 0.5793      | 0.7438      | 0.7237      |
| 1297.png                 | 0.6630      | 0.4959      | 0.8017      | 0.5652      |
| 1298.png                 | 0.6285      | 0.4583      | 0.7390      | 0.5468      |
| 1299.png                 | 0.7198      | 0.5622      | 1.0000      | 0.5622      |
| 13.png                   | 0.9613      | 0.9255      | 0.9897      | 0.9345      |
| 1300.png                 | 0.8894      | 0.8009      | 1.0000      | 0.8009      |
| 1302.png                 | 0.7614      | 0.6147      | 0.6259      | 0.9715      |
| 1303.png                 | 0.8716      | 0.7725      | 0.8195      | 0.9308      |
| 1304.png                 | 0.4397      | 0.2818      | 0.5522      | 0.3653      |
| 1305.png                 | 0.4147      | 0.2616      | 0.8955      | 0.2698      |
| 1307.png                 | 0.9119      | 0.8382      | 0.9056      | 0.9184      |
| 1308.png                 | 0.9030      | 0.8231      | 0.9520      | 0.8588      |
| 1309.png                 | 0.9023      | 0.8220      | 0.8684      | 0.9389      |
| 1310.png                 | 0.4761      | 0.3124      | 0.3281      | 0.8673      |
| 1311.png                 | 0.8510      | 0.7407      | 0.8075      | 0.8995      |
| 1312.png                 | 0.7838      | 0.6444      | 0.6918      | 0.9039      |
| 1313.png                 | 0.9341      | 0.8763      | 0.9727      | 0.8984      |
| 1314.png                 | 0.9221      | 0.8555      | 0.9384      | 0.9064      |
| 1315.png                 | 0.9227      | 0.8565      | 0.9935      | 0.8613      |
| 1317.png                 | 0.3605      | 0.2199      | 0.2245      | 0.9145      |
| 1318.png                 | 0.7826      | 0.6428      | 0.6793      | 0.9228      |
| 1319.png                 | 0.9060      | 0.8282      | 0.8851      | 0.9279      |
| 132.png                  | 0.8341      | 0.7154      | 0.9942      | 0.7184      |
| 1320.png                 | 0.8736      | 0.7755      | 0.8490      | 0.8996      |
