| Anh         | Dice      | IoU       |
| 1482.png    | 0| 0 |
| 1484.png    | 0.00639677           | 0.00320865            |
| 1485.png    | 0| 0 |
| 1486.png    | 0| 0 |
| 1487.png    | 0.144444          | 0.0778443           |
| 1488.png    | 0.00461741           | 0.00231405            |
| 1490.png    | 0| 0 |
| 1491.png    | 0| 0 |
| 1492.png    | 0| 0 |
| 1496.png    | 0| 0 |
| 1498.png    | 0| 0 |
| 1499.png    | 0| 0 |
| 15.png      | 0| 0 |
| 1500.png    | 0| 0 |
| 1501.png    | 0| 0 |
| 1503.png    | 0| 0 |
| 1506.png    | 0| 0 |
| 1507.png    | 0| 0 |
| 1508.png    | 0| 0 |
| 1509.png    | 0| 0 |
| 1510.png    | 0.00174749           | 0.000874508             |
| 1511.png    | 0| 0 |
| 1512.png    | 0.790252          | 0.653237           |
| 1513.png    | 0.00124262           | 0.000621697             |
| 1514.png    | 0| 0 |
| 1516.png    | 0| 0 |
| 1517.png    | 0| 0 |
| 1518.png    | 0| 0 |
| 1519.png    | 0| 0 |
| 1520.png    | 0| 0 |
| 1523.png    | 0| 0 |
| 1525.png    | 0| 0 |
| 1527.png    | 0| 0 |
| 1533.png    | 0| 0 |
| 1534.png    | 0.00444444           | 0.00222717            |
| 1535.png    | 0.00652529           | 0.00327332            |
| 1536.png    | 0| 0 |
| 1538.png    | 0| 0 |
| 1539.png    | 0| 0 |
| 154.png     | 0| 0 |
| 1540.png    | 0| 0 |
| 1541.png    | 0| 0 |
| 1542.png    | 0| 0 |
| 1543.png    | 0| 0 |
| 1545.png    | 0| 0 |
| 1546.png    | 0| 0 |
| 1547.png    | 0| 0 |
| 1548.png    | 0| 0 |
| 1549.png    | 0| 0 |
| 155.png     | 0| 0 |
| 1550.png    | 0| 0 |
| 1551.png    | 0| 0 |
| 1553.png    | 0| 0 |
| 1554.png    | 0| 0 |
| 1555.png    | 0| 0 |
| 1556.png    | 0| 0 |
| 1557.png    | 0| 0 |
| 1558.png    | 0| 0 |
