
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1300.png                 | 0.8924      | 0.8057      | 0.9981      | 0.8069      | 
| 1302.png                 | 0.5597      | 0.3886      | 0.3929      | 0.9726      | 
| 1303.png                 | 0.8556      | 0.7476      | 0.7756      | 0.9539      | 
| 1304.png                 | 0.4348      | 0.2778      | 0.5221      | 0.3724      | 
| 1305.png                 | 0.4156      | 0.2623      | 0.8710      | 0.2729      | 
| 1307.png                 | 0.9124      | 0.8389      | 0.9051      | 0.9198      | 
| 1308.png                 | 0.9047      | 0.8260      | 0.9486      | 0.8647      | 
| 1309.png                 | 0.9023      | 0.8220      | 0.8684      | 0.9389      | 
| 1310.png                 | 0.4583      | 0.2973      | 0.3111      | 0.8704      | 
| 1311.png                 | 0.8483      | 0.7365      | 0.7885      | 0.9178      | 
| 1312.png                 | 0.7878      | 0.6499      | 0.6843      | 0.9283      | 
| 1313.png                 | 0.9374      | 0.8822      | 0.9595      | 0.9164      | 
| 1314.png                 | 0.9297      | 0.8686      | 0.9349      | 0.9246      | 
| 1315.png                 | 0.9299      | 0.8690      | 0.9917      | 0.8754      | 
| 1317.png                 | 0.3137      | 0.1861      | 0.1883      | 0.9397      | 
| 1318.png                 | 0.7768      | 0.6350      | 0.6644      | 0.9348      | 
| 1319.png                 | 0.9028      | 0.8228      | 0.8712      | 0.9367      | 
| 132.png                  | 0.8453      | 0.7321      | 0.9943      | 0.7352      | 
| 1320.png                 | 0.8822      | 0.7893      | 0.8513      | 0.9155      | 
| 1321.png                 | 0.7997      | 0.6663      | 1.0000      | 0.6663      | 
| 1322.png                 | 0.7384      | 0.5853      | 1.0000      | 0.5853      | 
| 1323.png                 | 0.8084      | 0.6784      | 0.7157      | 0.9287      | 
| 1324.png                 | 0.8759      | 0.7791      | 1.0000      | 0.7791      | 
| 1325.png                 | 0.7914      | 0.6548      | 0.9888      | 0.6597      | 
| 1326.png                 | 0.7990      | 0.6652      | 0.8117      | 0.7867      | 
| 1327.png                 | 0.9360      | 0.8797      | 0.9454      | 0.9268      | 
| 1328.png                 | 0.9346      | 0.8772      | 0.9628      | 0.9080      | 
| 1329.png                 | 0.8196      | 0.6943      | 0.9930      | 0.6977      | 
| 133.png                  | 0.9447      | 0.8953      | 0.9965      | 0.8981      | 
| 1330.png                 | 0.6562      | 0.4883      | 0.5714      | 0.7705      | 
| 1333.png                 | 0.7922      | 0.6560      | 0.7208      | 0.8795      | 
| 1334.png                 | 0.7335      | 0.5792      | 0.9872      | 0.5836      | 
| 1335.png                 | 0.8752      | 0.7781      | 1.0000      | 0.7781      | 
| 1337.png                 | 0.8994      | 0.8171      | 0.9820      | 0.8295      | 
| 134.png                  | 0.9533      | 0.9108      | 0.9752      | 0.9324      | 
| 1345.png                 | 0.8528      | 0.7434      | 0.9910      | 0.7485      | 
| 1348.png                 | 0.6115      | 0.4404      | 0.4481      | 0.9624      | 
| 1349.png                 | 0.8677      | 0.7663      | 0.9861      | 0.7746      | 
| 1350.png                 | 0.8698      | 0.7697      | 0.9154      | 0.8286      | 
| 1353.png                 | 0.4101      | 0.2579      | 0.2581      | 0.9978      | 
| 1354.png                 | 0.8847      | 0.7933      | 0.8021      | 0.9863      | 
| 1355.png                 | 0.8926      | 0.8060      | 0.8617      | 0.9257      | 
| 1356.png                 | 0.9589      | 0.9210      | 0.9630      | 0.9547      | 
| 1357.png                 | 0.9666      | 0.9353      | 0.9619      | 0.9713      | 
