
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
| 1277.png                 | 0.9017      | 0.8209      | 0.9984      | 0.8220      |
| 1278.png                 | 0.9116      | 0.8376      | 0.9984      | 0.8388      |
| 1281.png                 | 0.3909      | 0.2429      | 0.9978      | 0.2431      |
| 1282.png                 | 0.4658      | 0.3037      | 0.8768      | 0.3172      |
| 1285.png                 | 0.7275      | 0.5718      | 0.6152      | 0.8901      |
| 1286.png                 | 0.7190      | 0.5613      | 0.5905      | 0.9191      |
| 1287.png                 | 0.6523      | 0.4840      | 0.9822      | 0.4882      |
| 1289.png                 | 0.4255      | 0.2702      | 0.2919      | 0.7842      |
| 1291.png                 | 0.7464      | 0.5954      | 0.6720      | 0.8394      |
| 1293.png                 | 0.8075      | 0.6772      | 0.7106      | 0.9351      |
| 1294.png                 | 0.8490      | 0.7375      | 0.9225      | 0.7862      |
| 1296.png                 | 0.6824      | 0.5179      | 0.7908      | 0.6001      |
| 1297.png                 | 0.6464      | 0.4776      | 0.8202      | 0.5334      |
| 1298.png                 | 0.6187      | 0.4479      | 0.7526      | 0.5253      |
| 1299.png                 | 0.5561      | 0.3852      | 1.0000      | 0.3852      |
| 13.png                   | 0.9594      | 0.9220      | 0.9968      | 0.9247      |
| 1300.png                 | 0.8676      | 0.7662      | 1.0000      | 0.7662      |
| 1302.png                 | 0.8668      | 0.7649      | 0.7901      | 0.9600      |
| 1303.png                 | 0.8730      | 0.7746      | 0.8534      | 0.8935      |
| 1304.png                 | 0.3824      | 0.2364      | 0.5445      | 0.2946      |
| 1305.png                 | 0.3863      | 0.2394      | 0.9249      | 0.2442      |
| 1307.png                 | 0.9024      | 0.8222      | 0.9240      | 0.8818      |
| 1308.png                 | 0.8894      | 0.8008      | 0.9640      | 0.8255      |
| 1309.png                 | 0.9021      | 0.8217      | 0.8695      | 0.9373      |
| 1310.png                 | 0.5483      | 0.3777      | 0.4014      | 0.8646      |
| 1311.png                 | 0.8521      | 0.7422      | 0.8214      | 0.8851      |
| 1312.png                 | 0.8735      | 0.7755      | 0.8623      | 0.8851      |
| 1313.png                 | 0.9160      | 0.8450      | 0.9802      | 0.8597      |
| 1314.png                 | 0.9150      | 0.8433      | 0.9635      | 0.8711      |
| 1315.png                 | 0.9059      | 0.8280      | 0.9933      | 0.8327      |
| 1317.png                 | 0.7172      | 0.5591      | 0.5985      | 0.8946      |
| 1318.png                 | 0.7904      | 0.6535      | 0.6990      | 0.9093      |
| 1319.png                 | 0.9145      | 0.8424      | 0.9103      | 0.9187      |
| 132.png                  | 0.8155      | 0.6885      | 0.9994      | 0.6888      |
| 1320.png                 | 0.8585      | 0.7521      | 0.8535      | 0.8636      |
| 1321.png                 | 0.7503      | 0.6004      | 1.0000      | 0.6004      |
| 1322.png                 | 0.7084      | 0.5484      | 1.0000      | 0.5484      |
| 1323.png                 | 0.8166      | 0.6900      | 0.7709      | 0.8679      |
| 1324.png                 | 0.8075      | 0.6771      | 1.0000      | 0.6771      |
| 1325.png                 | 0.7569      | 0.6089      | 0.9880      | 0.6134      |
| 1326.png                 | 0.8012      | 0.6684      | 0.8888      | 0.7294      |
| 1327.png                 | 0.9162      | 0.8453      | 0.9635      | 0.8732      |
| 1328.png                 | 0.9090      | 0.8331      | 0.9884      | 0.8413      |
| 1329.png                 | 0.7873      | 0.6492      | 0.9979      | 0.6501      |
| 133.png                  | 0.9116      | 0.8376      | 1.0000      | 0.8376      |
| 1330.png                 | 0.7879      | 0.6501      | 0.8342      | 0.7465      |
| 1333.png                 | 0.0539      | 0.0277      | 1.0000      | 0.0277      |
| 1334.png                 | 0.5067      | 0.3393      | 0.9983      | 0.3395      |
| 1335.png                 | 0.6379      | 0.4683      | 1.0000      | 0.4683      |
| 1337.png                 | 0.8730      | 0.7747      | 0.9850      | 0.7839      |
| 134.png                  | 0.9302      | 0.8696      | 0.9936      | 0.8745      |
| 1345.png                 | 0.8496      | 0.7385      | 0.9910      | 0.7435      |
| 1348.png                 | 0.7634      | 0.6174      | 0.6378      | 0.9507      |
| 1349.png                 | 0.7871      | 0.6490      | 0.9952      | 0.6510      |
| 1350.png                 | 0.8212      | 0.6967      | 0.9596      | 0.7177      |
| 1353.png                 | 0.7849      | 0.6459      | 0.6512      | 0.9875      |
| 1354.png                 | 0.9181      | 0.8487      | 0.8864      | 0.9522      |
| 1355.png                 | 0.8928      | 0.8064      | 0.8640      | 0.9237      |
| 1356.png                 | 0.9585      | 0.9203      | 0.9709      | 0.9464      |
| 1357.png                 | 0.9634      | 0.9294      | 0.9709      | 0.9560      |
| 1358.png                 | 0.9483      | 0.9016      | 0.9732      | 0.9246      |
| 1359.png                 | 0.9320      | 0.8726      | 0.9562      | 0.9089      |
| 1370.png                 | 0.8317      | 0.7119      | 0.7681      | 0.9068      |
| 1371.png                 | 0.8165      | 0.6899      | 0.7687      | 0.8706      |
| 1372.png                 | 0.9341      | 0.8763      | 0.9261      | 0.9422      |
| 1373.png                 | 0.9014      | 0.8205      | 0.9509      | 0.8568      |
| 1374.png                 | 0.8945      | 0.8091      | 0.8901      | 0.8989      |
| 1375.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1376.png                 | 0.8155      | 0.6884      | 0.7723      | 0.8638      |
| 1377.png                 | 0.7607      | 0.6138      | 0.9233      | 0.6468      |
| 1378.png                 | 0.7542      | 0.6054      | 0.7426      | 0.7661      |
| 1379.png                 | 0.8102      | 0.6809      | 0.8463      | 0.7770      |
| 1380.png                 | 0.4753      | 0.3117      | 0.3697      | 0.6651      |
| 1381.png                 | 0.8309      | 0.7107      | 0.7894      | 0.8770      |
| 1382.png                 | 0.6656      | 0.4988      | 0.9577      | 0.5101      |
