
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
| 1170.png                 | 0.0620      | 0.0320      | 0.0320      | 0.9842      | 
| 1171.png                 | 0.0771      | 0.0401      | 0.0401      | 0.9556      | 
| 1172.png                 | 0.0825      | 0.0430      | 0.0431      | 0.9294      | 
| 1173.png                 | 0.0675      | 0.0349      | 0.0350      | 0.9519      | 
| 1174.png                 | 0.0603      | 0.0311      | 0.0311      | 0.9791      | 
| 1175.png                 | 0.0318      | 0.0161      | 0.0162      | 0.9842      | 
| 1176.png                 | 0.0109      | 0.0055      | 0.0055      | 0.9383      | 
| 1177.png                 | 0.0290      | 0.0147      | 0.0147      | 0.9825      | 
| 1178.png                 | 0.0364      | 0.0185      | 0.0186      | 0.9862      | 
| 1179.png                 | 0.0335      | 0.0171      | 0.0171      | 0.9808      | 
| 118.png                  | 0.0799      | 0.0416      | 0.0416      | 1.0000      | 
| 1180.png                 | 0.0238      | 0.0120      | 0.0120      | 0.9925      | 
| 1182.png                 | 0.0231      | 0.0117      | 0.0117      | 1.0000      | 
| 1183.png                 | 0.0484      | 0.0248      | 0.0248      | 0.9932      | 
| 1184.png                 | 0.0537      | 0.0276      | 0.0276      | 0.9973      | 
| 1185.png                 | 0.0665      | 0.0344      | 0.0344      | 0.9897      | 
| 1186.png                 | 0.0660      | 0.0341      | 0.0341      | 0.9855      | 
| 1187.png                 | 0.0633      | 0.0327      | 0.0327      | 0.9798      | 
| 1188.png                 | 0.0486      | 0.0249      | 0.0250      | 0.9362      | 
| 1194.png                 | 0.0175      | 0.0088      | 0.0088      | 0.9132      | 
| 1195.png                 | 0.0210      | 0.0106      | 0.0106      | 0.9749      | 
| 1197.png                 | 0.0207      | 0.0105      | 0.0105      | 0.9095      | 
| 12.png                   | 0.1878      | 0.1036      | 0.1036      | 0.9997      | 
| 1202.png                 | 0.0146      | 0.0073      | 0.0074      | 0.9139      | 
| 1205.png                 | 0.0124      | 0.0063      | 0.0063      | 0.9153      | 
| 1219.png                 | 0.0310      | 0.0158      | 0.0158      | 0.9710      | 
| 1220.png                 | 0.0321      | 0.0163      | 0.0163      | 0.9031      | 
| 1221.png                 | 0.0416      | 0.0213      | 0.0214      | 0.8286      | 
| 1222.png                 | 0.0209      | 0.0106      | 0.0106      | 0.9518      | 
| 1223.png                 | 0.0211      | 0.0107      | 0.0107      | 0.9793      | 
| 1224.png                 | 0.0177      | 0.0089      | 0.0089      | 0.9812      | 
| 1225.png                 | 0.0117      | 0.0059      | 0.0059      | 0.7488      | 
| 1226.png                 | 0.0079      | 0.0040      | 0.0040      | 0.9662      | 
| 1227.png                 | 0.0088      | 0.0044      | 0.0044      | 0.9661      | 
| 1228.png                 | 0.0081      | 0.0041      | 0.0041      | 0.8847      | 
| 1230.png                 | 0.0302      | 0.0153      | 0.0153      | 0.8564      | 
| 1236.png                 | 0.0154      | 0.0078      | 0.0078      | 0.9897      | 
| 124.png                  | 0.0796      | 0.0415      | 0.0415      | 0.9959      | 
| 1244.png                 | 0.0291      | 0.0148      | 0.0148      | 0.9735      | 
| 1245.png                 | 0.0184      | 0.0093      | 0.0093      | 0.9868      | 
| 1246.png                 | 0.0242      | 0.0122      | 0.0122      | 1.0000      | 
| 1247.png                 | 0.0420      | 0.0215      | 0.0215      | 0.9985      | 
| 1248.png                 | 0.0537      | 0.0276      | 0.0276      | 0.9974      | 
| 1249.png                 | 0.0432      | 0.0221      | 0.0221      | 1.0000      | 
| 1250.png                 | 0.0314      | 0.0160      | 0.0160      | 0.9995      | 
| 1251.png                 | 0.0170      | 0.0086      | 0.0086      | 0.9976      | 
| 1252.png                 | 0.0207      | 0.0105      | 0.0105      | 0.9986      | 
| 1253.png                 | 0.0249      | 0.0126      | 0.0126      | 0.9937      | 
| 1254.png                 | 0.0213      | 0.0108      | 0.0108      | 1.0000      | 
| 1255.png                 | 0.0139      | 0.0070      | 0.0070      | 0.9979      | 
| 1256.png                 | 0.0107      | 0.0054      | 0.0054      | 1.0000      | 
| 1257.png                 | 0.0134      | 0.0067      | 0.0067      | 1.0000      | 
| 1258.png                 | 0.0145      | 0.0073      | 0.0073      | 0.9879      | 
| 1259.png                 | 0.0126      | 0.0063      | 0.0063      | 1.0000      | 
| 1260.png                 | 0.0160      | 0.0081      | 0.0081      | 0.9818      | 
| 1261.png                 | 0.0149      | 0.0075      | 0.0075      | 0.9991      | 
| 1262.png                 | 0.0168      | 0.0085      | 0.0085      | 1.0000      | 
| 1264.png                 | 0.0176      | 0.0089      | 0.0089      | 0.9907      | 
| 1265.png                 | 0.0133      | 0.0067      | 0.0067      | 1.0000      | 
| 1266.png                 | 0.0043      | 0.0021      | 0.0021      | 1.0000      | 
| 1273.png                 | 0.0184      | 0.0093      | 0.0093      | 0.9839      | 
| 1274.png                 | 0.0211      | 0.0106      | 0.0106      | 0.9967      | 
| 1276.png                 | 0.0439      | 0.0225      | 0.0225      | 0.9881      | 
| 1277.png                 | 0.0486      | 0.0249      | 0.0249      | 0.9701      | 
| 1278.png                 | 0.0454      | 0.0233      | 0.0233      | 0.9843      | 
| 1281.png                 | 0.0675      | 0.0349      | 0.0350      | 0.9692      | 
| 1282.png                 | 0.0471      | 0.0241      | 0.0241      | 0.9812      | 
| 1285.png                 | 0.0102      | 0.0051      | 0.0051      | 0.9908      | 
| 1286.png                 | 0.0110      | 0.0055      | 0.0055      | 0.9966      | 
| 1287.png                 | 0.0062      | 0.0031      | 0.0031      | 0.9765      | 
| 1289.png                 | 0.0209      | 0.0105      | 0.0105      | 0.9895      | 
| 1291.png                 | 0.0193      | 0.0097      | 0.0097      | 0.9684      | 
| 1293.png                 | 0.0240      | 0.0121      | 0.0121      | 0.9860      | 
| 1294.png                 | 0.0240      | 0.0122      | 0.0122      | 0.9585      | 
| 1296.png                 | 0.0513      | 0.0263      | 0.0264      | 0.9332      | 
| 1297.png                 | 0.0407      | 0.0208      | 0.0209      | 0.8350      | 
| 1298.png                 | 0.0294      | 0.0149      | 0.0150      | 0.8520      | 
| 1299.png                 | 0.0223      | 0.0113      | 0.0113      | 0.9785      | 
| 13.png                   | 0.2131      | 0.1193      | 0.1193      | 0.9992      | 
| 1300.png                 | 0.0116      | 0.0058      | 0.0058      | 1.0000      | 
| 1302.png                 | 0.0138      | 0.0070      | 0.0070      | 0.9937      | 
| 1303.png                 | 0.0166      | 0.0084      | 0.0084      | 0.9991      | 
| 1304.png                 | 0.0393      | 0.0201      | 0.0201      | 0.9953      | 
| 1305.png                 | 0.0385      | 0.0196      | 0.0197      | 0.9681      | 
| 1307.png                 | 0.0229      | 0.0116      | 0.0116      | 0.9747      | 
| 1308.png                 | 0.0274      | 0.0139      | 0.0139      | 0.9780      | 
| 1309.png                 | 0.0195      | 0.0098      | 0.0098      | 0.9992      | 
| 1310.png                 | 0.0464      | 0.0238      | 0.0238      | 0.9839      | 
| 1311.png                 | 0.0529      | 0.0272      | 0.0272      | 0.9758      | 
| 1312.png                 | 0.0412      | 0.0210      | 0.0210      | 0.9941      | 
| 1313.png                 | 0.0303      | 0.0154      | 0.0154      | 0.9865      | 
| 1314.png                 | 0.0304      | 0.0154      | 0.0154      | 1.0000      | 
| 1315.png                 | 0.0307      | 0.0156      | 0.0156      | 1.0000      | 
| 1317.png                 | 0.0456      | 0.0233      | 0.0233      | 0.9824      | 
